Kiosk,Current Dock Count,Checkouts,Checkouts Per Dock,Average Checkouts Per Day,Average Checkouts Per Dock Per Day
Center for Community @ Regent Drive,11,4493,408.45,49.92,4.54
CU Recreation Center,14,4071,290.79,45.23,3.23
Williams Village,22,3476,158.00,38.62,1.76
Farrand Field,15,2462,164.13,27.36,1.82
Folsom & Colorado,15,2133,142.20,23.70,1.58
13th & College,13,2086,160.46,23.18,1.78
18th & Colorado,14,1898,135.57,21.09,1.51
Timber Ridge @ Adams Circle,9,1766,196.22,19.62,2.18
Broadway & Euclid,17,1632,96.00,18.13,1.07
Broadway & Baseline,13,1490,114.62,16.56,1.27
Broadway & University,13,1423,109.46,15.81,1.22
Bear Creek,15,1324,88.27,14.71,0.98
21st & Arapahoe,15,1256,83.73,13.96,0.93
19th @ Boulder Creek,13,1108,85.23,12.31,0.95
18th & Euclid,10,1006,100.60,11.18,1.12
28th & Boulder Creek,13,842,64.77,9.36,0.72
35th & Colorado,14,822,58.71,9.13,0.65
30th & Marine,13,737,56.69,8.19,0.63
Folsom & Pearl,13,662,50.92,7.36,0.57
Twenty Ninth Street North,14,591,42.21,6.57,0.47
The Village,14,587,41.93,6.52,0.47
SEEC @ Discovery Drive,10,564,56.40,6.27,0.63
15th & Pearl,15,527,35.13,5.86,0.39
28th & Canyon,9,453,50.33,5.03,0.56
Library @ Arapahoe,11,440,40.00,4.89,0.44
29th & Pearl,18,416,23.11,4.62,0.26
Broadway & Alpine,13,375,28.85,4.17,0.32
9th & Pearl,10,367,36.70,4.08,0.41
11th & Pearl,15,359,23.93,3.99,0.27
Pearl Place,17,356,20.94,3.96,0.23
30th & Glenwood,16,349,21.81,3.88,0.24
28th & Mapleton,14,317,22.64,3.52,0.25
Boulder Junction,11,296,26.91,3.29,0.30
13th & Spruce,14,283,20.21,3.14,0.22
14th & Canyon,8,244,30.50,2.71,0.34
13th & Arapahoe,13,242,18.62,2.69,0.21
31st & Pearl,11,238,21.64,2.64,0.24
26th @ Pearl,11,228,20.73,2.53,0.23
6th & Canyon,11,143,13.00,1.59,0.14
Municipal Building,9,135,15.00,1.50,0.17
48th & Arapahoe,17,134,7.88,1.49,0.09
UCAR Center Green,13,132,10.15,1.47,0.11
The Peoples' Crossing,13,123,9.46,1.37,0.11
38th & Arapahoe,9,70,7.78,0.78,0.09
Fisher Drive and Exposition Drive,11,59,5.36,0.66,0.06
Diagonal Crossing,6,37,6.17,0.41,0.07
UCAR Mitchell Lane,13,32,2.46,0.36,0.03
Boulder Junction North,1,0,0.00,0.00,0.00
20th & Pearl,14,0,0.00,0.00,0.00
